127.0.0.1 http://127.0.0.1
127.0.0.1:8000 http://127.0.0.1:8000
127.0.0.1/admin/subPage http://127.0.0.1/admin/subPage
127.0.0.1/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3 http://127.0.0.1/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3
127.0.0.1/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services http://127.0.0.1/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services
127.0.0.1:8000/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services http://127.0.0.1:8000/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services
http://127.0.0.1:8000/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services http://127.0.0.1:8000/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services
https://127.0.0.1:8000/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services https://127.0.0.1:8000/admin/subPage?qs1=sss1&qs2=sss2&qs3=sss3#Services
ftps://ftp.foo.biz/~john/doe?w=100&h=50 ftps://ftp.foo.biz/~john/doe?w=100&h=50
tftp://ftp.foo.biz/~john/doe?w=100&h=50 tftp://ftp.foo.biz/~john/doe?w=100&h=50
smb://ftp.foo.biz/~john/doe?w=100&h=50 smb://ftp.foo.biz/~john/doe?w=100&h=50
ssh://ftp.foo.biz/~john/doe?w=100&h=50 ssh://ftp.foo.biz/~john/doe?w=100&h=50
vnc://ftp.foo.biz/~john/doe?w=100&h=50 vnc://ftp.foo.biz/~john/doe?w=100&h=50
rdp://ftp.foo.biz/~john/doe?w=100&h=50 rdp://ftp.foo.biz/~john/doe?w=100&h=50
icq://icq.com.files/AAAAA878887xDDDFDa icq://icq.com.files/AAAAA878887xDDDFDa
magent://agent.com.files/AAAAA878887xDDDFDa magent://agent.com.files/AAAAA878887xDDDFDa
myteam-messenger://com.files/AAAAA878887xDDDFDa myteam-messenger://com.files/AAAAA878887xDDDFDa
vkteams://com.files/AAAAA878887xDDDFDa vkteams://com.files/AAAAA878887xDDDFDa
itd-messenger://com.files/AAAAA878887xDDDFDa itd-messenger://com.files/AAAAA878887xDDDFDa
mailto:john.doe@example1.com mailto:john.doe@example1.com
john.doe@example1.com http://john.doe@example1.com
